feu;
1;
1;
22;22;
----------------------------------;
1;1;1;1;1;1;1;8;8;8;2;2;2;2;2;4;4;4;4;4;4;4;
1;1;1;1;1;1;8;8;8;8;2;2;2;2;2;4;6;6;6;6;6;4;
1;1;1;1;1;1;8;8;8;8;8;2;2;2;2;4;6;6;6;6;6;4;
1;1;1;1;1;1;8;8;8;8;2;2;2;2;2;4;6;6;6;6;6;4;
1;4;4;4;4;4;4;4;4;4;8;2;2;2;2;4;6;6;6;6;6;4;
4;6;6;6;6;6;6;6;4;1;8;4;4;4;4;4;6;6;6;6;6;4;
1;4;6;6;6;6;6;6;6;4;1;4;2;2;2;4;6;6;6;6;6;4;
4;6;6;6;6;6;6;6;4;4;4;8;8;2;2;4;6;6;6;6;6;4;
1;4;6;6;6;6;6;6;6;4;1;1;1;8;2;4;6;6;6;6;6;4;
4;6;6;6;6;6;6;6;4;1;1;1;1;8;2;4;6;6;6;6;6;4;
1;4;6;6;6;6;6;6;6;4;1;1;1;1;8;4;6;6;6;6;6;4;
4;6;6;6;6;6;6;6;4;4;4;4;4;4;4;4;4;4;4;4;4;4;
1;4;6;6;6;6;6;6;6;4;1;1;1;1;1;8;8;8;2;2;2;2;
4;6;6;6;6;6;6;6;4;1;1;1;1;1;1;1;1;8;2;2;2;2;
1;4;4;4;4;4;4;4;4;4;1;1;1;1;1;1;1;1;8;8;8;8;
1;1;1;1;1;1;1;1;1;7;7;7;7;7;1;1;1;1;1;1;1;1;
1;1;1;1;1;1;1;1;7;1;1;1;1;1;1;7;1;1;1;1;1;1;
1;1;1;1;1;1;1;7;1;1;7;7;7;1;1;7;1;1;1;1;1;1;
1;1;1;1;1;1;1;7;1;7;1;1;1;1;7;1;7;1;1;1;1;1;
1;1;1;1;1;1;7;1;7;1;1;7;1;1;7;1;7;1;1;1;1;1;
1;1;1;1;1;1;7;1;7;1;7;1;1;7;1;7;1;7;1;1;1;1;
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
0;0;0;1-90;
0;11;21;1-10;
1;11;21;1-10;
3;10;21;1-10;
6;9;21;1-10;
8;11;20;1-10;
8;9;20;1-10;
9;12;20;1-10;
9;8;21;1-10;
10;10;19;1-10;
10;9;19;1-10;
11;7;21;1-10;
12;11;21;0;
12;10;18;1-10;
13;11;18;1-10;
14;10;21;0;
15;12;19;1-10;
15;7;20;1-10;
15;9;17;1-10;
15;21;0;4-71;
16;6;21;1-10;
16;21;0;4;
16;21;2;4-71;
17;9;21;0;
17;13;18;1-10;
17;10;16;1-10;
17;8;17;1-10;
17;21;2;4;
17;21;4;4-71;
18;7;19;1-10;
18;9;16;1-10;
18;5;21;1-10;
18;21;4;4;
18;21;6;4-71;
19;11;20;0;
19;9;20;0;
19;12;18;1-10;
19;21;6;4;
19;21;8;4-71;
20;12;20;0;
20;8;21;0;
20;13;17;1-10;
20;8;15;1-10;
20;21;8;4;
20;12;11;4-71;
20;21;0;4-71;
21;10;19;0;
21;9;19;0;
21;8;18;1-10;
21;12;11;4;
21;8;14;4-71;
21;21;0;4;
21;21;2;4-71;
22;7;21;0;
22;13;19;1-10;
22;11;16;1-10;
22;7;15;1-10;
22;21;2;4;
22;21;4;4-71;
23;10;18;0;
23;5;20;1-10;
23;8;14;4-10-71;
23;21;4;4;
23;21;6;4-71;
24;11;18;0;
24;13;16;1-10;
24;9;14;4-10;
24;7;14;4-10;
24;6;15;1-10;
24;8;14;4-9-71;
24;21;6;4;
24;21;8;4-71;
25;4;21;1-10;
25;8;14;4-9;
25;9;14;4-10-71;
25;21;8;4;
25;12;11;4-71;
25;21;0;4-71;
26;12;19;0;
26;7;20;0;
26;9;17;0;
26;5;19;1-10;
26;6;13;6-10;
26;7;13;6-10;
26;6;14;4-10;
26;7;16;1-10;
26;5;15;1-10;
26;12;11;4;
26;7;14;4-10-71;
26;21;0;4;
26;21;2;4-71;
27;6;21;0;
27;4;20;1-10;
27;21;2;4;
27;21;4;4-71;
28;13;18;0;
28;10;16;0;
28;8;17;0;
28;4;19;1-10;
28;12;16;1-10;
28;8;13;4-10;
28;9;13;1-10;
28;3;21;1-10;
28;6;12;6-10;
28;5;13;6-10;
28;8;12;6-10;
28;6;16;1-10;
28;9;14;4-9-71;
28;21;4;4;
28;21;6;4-71;
29;7;19;0;
29;9;16;0;
29;5;21;0;
29;5;18;1-10;
29;6;18;1-10;
29;7;12;6-10;
29;9;14;4-9;
29;8;13;4-10-71;
29;7;14;4-9-71;
29;21;6;4;
29;21;8;4-71;
30;12;18;0;
30;5;16;1-10;
30;9;12;4-10;
30;10;12;1-10;
30;5;11;6-10;
30;5;12;6-10;
30;4;13;6-10;
30;7;11;6-10;
30;7;14;4-9;
30;6;14;4-10-71;
30;21;8;4;
30;12;11;4-71;
30;21;0;4-71;
30;15;15;1-81;
30;4;8;6-81;
31;13;17;0;
31;8;15;0;
31;3;19;1-10;
31;4;18;1-10;
31;4;17;1-10;
31;5;17;1-10;
31;12;11;4;
31;9;11;4-10-71;
31;21;0;4;
31;16;1;6-71;
31;15;15;1;
31;13;16;1-10-81;
31;4;8;6;
31;6;10;6-10-81;
32;8;18;0;
32;5;14;4-10;
32;3;20;1-10;
32;6;11;6-10;
32;9;11;4-10-71;
32;6;10;6-10-81;
32;4;12;6-10;
32;4;14;4-10;
32;7;10;6-10;
32;8;10;6-10;
32;8;13;4-9-71;
32;16;1;6;
32;13;11;4-71;
33;13;19;0;
33;11;16;0;
33;7;15;0;
33;6;14;0;
33;4;15;1-10;
33;8;11;4-10;
33;10;11;4-10-71;
33;3;18;1-10;
33;3;17;1-10;
33;8;13;4-9;
33;9;12;4-10-71;
33;6;14;0;
33;5;14;4-10-71;
33;13;11;4;
33;10;11;4-10-71;
33;13;16;1-10;
33;15;12;8-81;
33;6;10;6-10;
33;6;3;8-81;
34;5;20;0;
34;6;17;1-10;
34;5;10;6-10;
34;4;11;6-10;
34;4;16;1-10;
34;5;9;6-10;
34;3;14;4-10;
34;6;9;6-10;
34;7;9;6-10;
34;8;9;4-10;
34;9;11;4-9-71;
35;13;16;0;
35;6;15;0;
35;6;13;0;
35;7;13;0;
35;3;11;6-10;
35;3;13;6-10;
35;9;10;4-10-71;
35;2;17;1-10;
35;9;11;4-9;
35;9;10;4-10-71;
35;15;12;8;
35;10;11;4-10-71-81;
35;6;3;8;
35;7;8;6-10-81;
35;21;0;4-71;
36;4;21;0;
36;10;13;1-10;
36;3;12;6-10;
36;3;15;1-10;
36;10;10;1-10-81;
36;4;9;6-10;
36;4;10;6-10;
36;5;8;6-10;
36;2;13;6-10;
36;7;8;6-10-81;
36;9;12;4-9-71;
36;5;14;4-9-71;
36;10;11;4-9-71;
36;21;0;4;
36;16;1;6-71;
36;10;11;4-9-71;
36;10;10;1-10-81;
37;5;19;0;
37;7;16;0;
37;5;15;0;
37;6;12;0;
37;5;13;0;
37;8;12;0;
37;2;19;1-10;
37;3;16;1-10;
37;6;8;6-10;
37;8;8;6-10;
37;3;10;6-10;
37;9;9;1-10;
37;9;12;4-9;
37;8;11;4-10-71;
37;5;14;4-9;
37;4;14;4-10-71;
37;10;11;4-9;
37;9;10;4-10-72;
37;16;1;6;
37;9;8;4-71;
37;7;8;6-10;
37;6;3;8-81;
38;4;20;0;
38;7;12;0;
38;2;11;6-10;
38;1;17;1-10;
38;11;12;1-10;
38;10;9;1-10;
38;4;8;6-10;
38;3;9;6-10;
38;4;7;6-10;
38;7;7;6-10;
38;9;10;4-9-71;
38;9;10;4-9-71;
38;8;9;4-10-72;
38;9;8;4;
38;8;9;4-10-72;
38;10;10;1-10;
38;11;7;8-81;
39;4;19;0;
39;12;16;0;
39;9;13;0;
39;3;21;0;
39;6;16;0;
39;5;11;0;
39;5;12;0;
39;4;13;0;
39;7;11;0;
39;4;14;0;
39;2;18;1-10;
39;1;13;6-10;
39;6;7;6-10;
39;2;9;6-10;
39;2;10;6-10;
39;4;14;0;
39;3;14;4-10-71;
39;9;10;4-9;
39;8;9;4-10-73;
39;6;3;8;
39;7;6;6-10-81;
40;5;18;0;
40;6;18;0;
40;8;11;0;
40;9;8;4-10-72;
40;2;16;1-10;
40;11;13;1-10;
40;2;12;6-10;
40;5;7;6-10;
40;2;15;1-10;
40;8;7;4-10;
40;1;16;1-10;
40;3;7;6-10;
40;3;8;6-10;
40;5;6;6-10;
40;7;6;6-10-81;
40;8;11;0;
40;8;9;4-9-72;
40;8;9;4-9-72;
40;8;9;4-9-72;
40;9;8;4-10-72;
40;8;9;4-9-72;
40;9;8;4-10-72;
40;11;7;8;
40;10;9;1-10-81;
40;21;0;4-71;
41;5;16;0;
41;10;12;0;
41;6;11;0;
41;6;10;0;
41;4;12;0;
41;7;10;0;
41;8;10;0;
41;3;14;0;
41;0;17;1-10;
41;11;11;4-10;
41;11;10;1-10;
41;8;6;6-10;
41;1;9;6-10;
41;1;10;4-10;
41;8;9;4-9;
41;9;8;4-10-74;
41;3;14;0;
41;2;14;4-10-71;
41;8;9;4-9;
41;9;8;4-10-74;
41;21;0;4;
41;16;1;6-71;
41;7;6;6-10;
41;6;3;8-81;
42;3;19;0;
42;4;18;0;
42;4;17;0;
42;5;17;0;
42;10;14;1-10;
42;10;8;1-10;
42;11;8;1-10;
42;4;6;6-10;
42;1;12;4-10;
42;0;13;4-10;
42;2;8;6-10;
42;1;15;1-10;
42;1;11;6-10;
42;2;14;4-10-71;
42;9;6;4-10-71;
42;2;7;6-10;
42;5;5;6-10;
42;6;5;6-10;
42;7;5;6-10;
42;9;8;4-9-71;
42;9;8;4-9-71;
42;8;7;4-10-73;
42;9;8;4-9-71;
42;8;7;4-10-73;
42;9;8;4-9-71;
42;8;7;4-10-73;
42;16;1;6;
42;9;6;4-10-71;
42;10;9;1-10;
42;11;7;8-81;
43;3;20;0;
43;5;10;0;
43;4;11;0;
43;5;9;0;
43;6;9;0;
43;7;9;0;
43;1;18;1-10;
43;12;12;1-10;
43;6;6;6-10;
43;0;15;1-10;
43;0;16;1-10;
43;3;6;6-10;
43;11;9;1-10;
43;8;5;4-10;
43;1;8;4-10;
43;0;9;4-10;
43;0;11;4-10;
43;9;8;4-9;
43;8;7;4-9-74;
43;8;7;4-9-74;
43;6;3;8;
43;7;4;4-10-81;
44;4;15;0;
44;3;18;0;
44;3;17;0;
44;3;11;0;
44;3;13;0;
44;2;20;1-10;
44;0;10;1-10;
44;3;5;6-10;
44;4;5;6-10;
44;1;7;6-10;
44;1;14;4-10;
44;2;6;6-10;
44;5;4;4-10;
44;6;4;4-10;
44;7;4;4-10-81;
44;8;7;4-9;
44;9;6;4-10-75;
44;2;14;4-9-71;
44;8;7;4-9;
44;9;6;4-10-75;
44;8;7;4-9;
44;9;6;4-10-75;
44;8;7;4-9;
44;9;6;4-10-75;
44;11;7;8;
44;11;8;1-10-81;
45;6;17;0;
45;4;16;0;
45;3;12;0;
45;4;9;0;
45;4;10;0;
45;5;8;0;
45;2;13;0;
45;7;8;0;
45;12;13;1-10;
45;0;12;1-10;
45;0;18;1-10;
45;12;11;4-10;
45;0;14;1-10;
45;2;5;6-10;
45;0;8;1-10;
45;9;6;4-9-71;
45;2;14;4-9;
45;1;14;4-10-71;
45;9;6;4-9-71;
45;8;5;4-10-74;
45;9;6;4-9-71;
45;8;5;4-10-74;
45;9;6;4-9-71;
45;8;5;4-10-74;
45;9;6;4-9-71;
45;8;5;4-10-74;
45;7;4;4-10;
45;6;3;8-81;
45;21;0;4-71;
46;2;17;0;
46;6;8;0;
46;8;8;0;
46;3;10;0;
46;10;7;4-10;
46;8;4;4-10-71;
46;12;8;1-10;
46;0;7;4-10;
46;1;19;1-10;
46;4;4;4-10;
46;1;6;4-10;
46;1;5;6-10;
46;9;6;4-9;
46;8;5;4-9-74;
46;8;5;4-9-74;
46;8;5;4-9-74;
46;8;4;4-10-71;
46;21;0;4;
46;16;1;6-71;
46;11;8;1-10;
46;11;7;8-81;
47;10;13;0;
47;3;15;0;
47;10;10;0;
47;2;11;0;
47;4;8;0;
47;3;9;0;
47;4;7;0;
47;7;7;0;
47;12;10;1-10;
47;11;14;1-10;
47;1;20;1-10;
47;3;4;4-10;
47;5;3;1-10;
47;13;12;1-10;
47;13;13;1-10;
47;2;4;4-10;
47;8;5;4-9;
47;8;4;4-10-75;
47;8;5;4-9;
47;8;4;4-10-75;
47;8;5;4-9;
47;8;4;4-10-75;
47;8;5;4-9;
47;8;4;4-10-75;
